Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	IBRoot	IBExch	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	TradeDir	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	Note
N	1603	Soybean No. 1@DCE	[100010001000]	1	0.05%	13:40	15:00	8		AKA Comdty	DSA			10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	1604	Soybean@CBT	[100010100010]	1	0.05%	08:35	13:15	8	13:15	S A Comdty	S	ZS	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	1605	Soybean Meal@CBT	[101010101001]	1	0.05%	08:35	13:15	8	13:15	SMA Comdty	SM	ZM	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	1606	Soybean Oil@CBT	[101010101001]	1	0.05%	08:35	13:15	8	13:15	BOA Comdty	BO	ZL	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	1701	Winter Wheat@CBT	[001010101001]	1	0.05%	08:35	13:15	8	13:15	W A Comdty	W	ZW	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	1703	Hard Red Wheat@CBT	[001010101001]	1	0.05%	08:35	13:15	8	13:15	KWA Comdty	KW	KE	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
N	1704	Strong Gluten Wheat@ZCE	[101010101010]	1	0.05%	13:40	15:00	8		VNA Comdty				10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	1705	Red Spring Wheat@MGE	[001010101001]	1	0.05%	08:35	13:30	8	13:15	MWA Comdty	1MWE			10	Vwap	10	10	70	0		N	N	N	N	N		N	
Y	1706	Milling Wheat@EOP	[101010000010]	1	0.14%	10:55	18:30	8	18:30	CAA Comdty	BL2	EBM	MATIF	10	Twap	2	10	70	0		Y	Y	N	Y	N		N	before 2015/09 [101010000010]
N	2101	Coke@DCE	[100010001000]	1	0.05%	13:40	15:00	8		KEEA Comdty	DCJ			10	Vwap	2	10	70	0		N	N	N	N	N		N	
N	2102	Coking Coal @DCE	[100010001000]	1	0.05%	13:40	15:00	8		CKCA Comdty				10	Vwap	2	10	70	0		N	N	N	N	N		N	
N	2103	Thermal Coal@ZCE	[111111111111]	1	0.05%	13:40	15:00	8		TRCA Comdty				10	Vwap	2	10	70	0		N	N	N	N	N		N	
