Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	RollBegin	RollEnd	StpLossPeriod	BBExch	IBRoot	IBExch	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	TradeDir	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	Note
Y	1504	Euro Rapeseed@EOP	[010010010010]	1	0.05%	10:45	18:30	8	18:30	IJA Comdty	COM	10:45	10:45	20	Vwap	10	10:50	12:00	11:00	12:00	3	EOP	ECO	MATIF	10	Vwap	10	10	70	0		Y	Y	N	Y	N		N	
N	1505	Early Indica Rice@ZCE	[101010101010]	1	0.05%	09:00	15:00	8	15:00	IRIA Comdty		09:00	09:00	12	Vwap	2	13:50	14:50	13:50	14:50		ZCE			10	Vwap	2	10	70	0		N	N	N	N	N		N	
ToAdd	1506	Oats@CBT	[001010100001]	1	0.05%	19:00	13:20	8	13:15	O A Comdty	O	19:00	19:00	12	Vwap	2	08:50	09:50	08:50	09:50		CBT	ZO	ECBOT	10	Vwap	2	10	70	0		Y	Y	N	N	N	liq	N	
N	1507	Rough Rice@CBT	[101010101010]	1	0.05%	19:00	13:20	8	13:15	RRA Comdty	RR	19:00	19:00	12	Vwap	2	08:50	09:50	08:50	09:50		CBT	ZR	ECBOT	10	Vwap	2	10	70	0		Y	Y	N	N	N	liq	N	
N	1601	Soymeal@DCE	[100010001000]	1	0.05%	21:00	15:00	8	16:00	AEA Comdty	DSM	21:00	21:00	12	Vwap	2	13:50	14:50	13:50	14:50		DCE			10	Vwap	2	10	70	0		N	N	N	N	N		N	
N	1602	Soybean Oil@DCE	[100010001000]	1	0.05%	21:00	15:00	8	16:00	SHA Comdty	DBY	21:00	21:00	12	Vwap	2	13:50	14:50	13:50	14:50		DCE			10	Vwap	2	10	70	0		N	N	N	N	N		N	
N	1603	Soybean No. 1@DCE	[100010001000]	1	0.05%	21:00	15:00	8	16:00	AKA Comdty	DSA	21:00	21:00	12	Vwap	2	13:50	14:50	13:50	14:50		DCE			10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	1604	Soybean@CBT	[100010100010]	1	0.05%	19:00	13:20	8	13:15	S A Comdty	S	19:00	19:00	20	Vwap	10	08:35	09:25	08:35	09:25	1	CBT	ZS	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	1605	Soybean Meal@CBT	[101010101001]	1	0.05%	19:00	13:20	8	13:15	SMA Comdty	SM	19:00	19:00	20	Vwap	10	08:35	09:25	08:35	09:25		CBT	ZM	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	1606	Soybean Oil@CBT	[101010101001]	1	0.05%	19:00	13:20	8	13:15	BOA Comdty	BO	19:00	19:00	20	Vwap	10	08:35	09:25	08:35	09:25	3	CBT	ZL	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
