Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	BBExch	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	UPatrev2d	UEm	ProdWithAsian	Note
Y	1303	Sugar No. 11@NYB	[001010100100]	1	0.05%	04:30	13:00	8	12:55	SBA Comdty	SB	04:35	12:00	30	Vwap	20	04:45	05:45	NYB	SB	NYBOT		Y	Y	Y	Y	Y	Y	
Y	1305	London Cocoa No. 7@LIF	[001010101001]	1	0.05%	09:30	16:55	8	16:50	QCA Comdty	LCC	09:35	09:35	30	Vwap	20	10:40	11:40	LIF	C	ICEEUSOFT		Y	Y	Y	Y	Y	Y	Fix BST time
Y	1306	Cocoa@NYB	[001010101001]	1	0.05%	05:45	13:30	8	11:50	CCA Comdty	CC	05:50	05:50	30	Vwap	20	06:00	07:00	NYB	CC	NYBOT		Y	Y	Y	Y	Y	Y	
Y	1307	Coffee C@NYB	[001010101001]	1	0.05%	05:15	13:30	8	13:25	KCA Comdty	KC	05:20	05:20	30	Vwap	10	05:30	06:30	NYB	KC	NYBOT		Y	Y	Y	Y	Y	Y	
Y	1308	Robusta Coffee@LIF	[101010101010]	1	0.05%	09:00	17:30	8	17:25	DFA Comdty	LRC	09:05	09:05	30	Vwap	20	09:15	10:15	LIF	D	ICEEUSOFT		Y	Y	Y	Y	Y	Y	Fix BST time
Y	1309	Sugar@LIF	[001010010101]	1	0.05%	08:45	17:00	8	17:55	QWA Comdty	LSU	08:50	08:50	30	Vwap	20	08:50	09:50	LIF	W	ICEEUSOFT		Y	Y	Y	Y	Y	Y	Fix EDT time
Y	1311	FCOJ@NYB	[101010101010]	1	0.05%	08:00	14:00	8	13:30	JOA Comdty	OJ	08:05	08:05	30	Vwap	10	08:15	09:15	NYB	OJ	NYBOT		Y	Y	Y	Y	Y	Y	
