Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	BBExch	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	UPatrev2d	UEm	ProdWithAsian	Note
Y	4106	Copper@CMX	[001010101001]	1	0.05%	18:00	17:00	8	13:00	HGA Comdty	HG	19:05	00:10	20	Vwap	10	20:10	22:10	CMX	HG	NYMEX	08:10	Y	Y	Y	Y	Y	Y	
Y	4303	Gold @CMX	[010101010001]	1	0.05%	18:00	17:00	8	13:30	GCA Comdty	GC	07:05	07:05	20	Vwap	10	07:15	08:15	CMX	GC	NYMEX	08:20	Y	Y	Y	Y	Y	Y	
Y	4307	Platinum@NYM	[100100100100]	1	0.05%	18:00	17:00	8	13:05	PLA Comdty	PL	09:00	10:30	30	Vwap	20	07:15	08:15	NYM	PL	NYMEX	08:20	Y	Y	Y	Y	Y	Y	
Y	4309	Palladium@NYM	[001001001001]	1	0.05%	18:00	17:00	8	13:00	PAA Comdty	PA	12:00	09:00	30	Vwap	20	07:15	08:15	NYM	PA	NYMEX	08:30	Y	Y	Y	Y	Y	Y	
