Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	BBExch	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	UPatrev2d	UEm	ProdWithAsian	Note
Y	3101	10-year US Treasury@CBT	[001001001001]	1	0.01%	17:00	16:00	8	14:00	TYA Comdty	ZN	07:00	07:00	20	Vwap	10	07:10	08:10	CBT	ZN	ECBOT		Y	Y	Y	Y	Y	Y	
Y	3102	Euro Bund@EUX	[001001001001]	1	0.01%	08:00	22:10	8	17:15	RXA Comdty	FGBL	12:00	12:00	20	Vwap	10	07:10	08:10	EUX	GBL	DTB		Y	Y	Y	Y	Y	Y	
Y	3103	5-year US Treasury@CBT	[001001001001]	1	0.01%	17:00	16:00	8	14:00	FVA Comdty	ZF	07:00	07:00	20	Vwap	10	08:10	09:10	CBT	ZF	ECBOT		Y	Y	Y	Y	Y	Y	
Y	3104	Euro Bobl@EUX	[001001001001]	1	0.01%	08:00	22:05	8	17:15	OEA Comdty	FGBM	12:30	09:00	20	Vwap	10	08:20	09:20	EUX	GBM	DTB		Y	Y	Y	Y	Y	N	
Y	3107	Long Gilt@LIF	[001001001001]	1	0.01%	08:00	18:00	8	16:15	G A Comdty	FLG	12:00	12:30	20	Vwap	10	09:10	10:10	LIF	R	ICEEU		Y	Y	Y	Y	Y	N	
Y	3113	10-year Canadian Govt Bond@MSE	[001001001001]	1	0.01%	06:00	16:30	8	15:00	CNA Comdty	CGB 	10:30	06:00	20	Vwap	10	08:00	09:00	MSE	CGB	CDE		Y	Y	Y	Y	N	Y	
Y	3115	10-year Italian Govt Bond@EUX	[001001001001]	1	0.01%	08:00	19:06	8	17:15	IKA Comdty	FBTP	12:00	10:30	20	Vwap	10	08:05	09:05	EUX	BTP	DTB		Y	Y	N	Y	N	N	
Y	3116	French Govt Bond@EUX	[001001001001]	1	0.01%	08:00	20:00	8	17:15	OATA Comdty	FOAT	08:05	12:00	20	Vwap	10	07:10	08:10	EUX	OAT	DTB		Y	Y	N	N	N	N	
Y	3119	Euro Buxl@EUX	[001001001001]	1	0.01%	08:00	22:00	8	17:15	UBA Comdty	FGBX	07:00	09:00	20	Vwap	10	09:10	10:10	EUX	GBX	DTB		Y	Y	Y	Y	Y	N	
