Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	BBExch	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	UPatrev2d	UEm	ProdWithAsian	Note
Y	1101	Corn@CBT	[001010100001]	1	0.05%	19:00	13:20	8	13:15	C A Comdty	C	08:35	12:00	20	Vwap	10	10:40	11:40	CBT	ZC	ECBOT		Y	Y	Y	Y	Y	Y	
Y	1303	Sugar No. 11@NYB	[001010100100]	1	0.05%	04:30	13:00	8	12:55	SBA Comdty	SB	04:35	12:00	30	Vwap	20	04:45	05:45	NYB	SB	NYBOT		Y	Y	Y	Y	Y	Y	
Y	1305	London Cocoa No. 7@LIF	[001010101001]	1	0.05%	09:30	16:55	8	16:50	QCA Comdty	LCC	09:35	09:35	30	Vwap	20	10:40	11:40	LIF	C	ICEEUSOFT		Y	Y	Y	Y	Y	Y	Fix BST time
Y	1306	Cocoa@NYB	[001010101001]	1	0.05%	05:45	13:30	8	11:50	CCA Comdty	CC	05:50	05:50	30	Vwap	20	06:00	07:00	NYB	CC	NYBOT		Y	Y	Y	Y	Y	Y	
Y	1307	Coffee C@NYB	[001010101001]	1	0.05%	05:15	13:30	8	13:25	KCA Comdty	KC	05:20	05:20	30	Vwap	10	05:30	06:30	NYB	KC	NYBOT		Y	Y	Y	Y	Y	Y	
Y	1308	Robusta Coffee@LIF	[101010101010]	1	0.05%	09:00	17:30	8	17:25	DFA Comdty	LRC	09:05	09:05	30	Vwap	20	09:15	10:15	LIF	D	ICEEUSOFT		Y	Y	Y	Y	Y	Y	Fix BST time
Y	1309	Sugar@LIF	[001010010101]	1	0.05%	08:45	17:00	8	17:55	QWA Comdty	LSU	08:50	08:50	30	Vwap	20	08:50	09:50	LIF	W	ICEEUSOFT		Y	Y	Y	Y	Y	Y	Fix EDT time
Y	1311	FCOJ@NYB	[101010101010]	1	0.05%	08:00	14:00	8	13:30	JOA Comdty	OJ	08:05	08:05	30	Vwap	10	08:15	09:15	NYB	OJ	NYBOT		Y	Y	Y	Y	Y	Y	
Y	1401	Live Cattle@CME	[010101010101]	1	0.05%	08:30	13:05	8	13:00	LCA Comdty	LC	08:35	12:00	40	Vwap	30	09:40	10:40	CME	LE	GLOBEX	08:30	Y	Y	Y	Y	Y	N	
Y	1402	Lean Hogs@CME	[010101010101]	1	0.05%	08:30	13:05	8	13:00	LHA Comdty	LH	08:35	08:35	40	Vwap	30	08:50	09:50	CME	HE	GLOBEX	08:30	Y	Y	Y	Y	Y	Y	
Y	1403	Feeder Cattle@CME	[101010011110]	1	0.05%	08:30	13:05	8	13:00	FCA Comdty	FC	08:35	08:35	40	Vwap	30	08:50	09:50	CME	GF	GLOBEX	08:30	Y	Y	N	Y	N	N	liq
Y	1504	Euro Rapeseed@EOP	[010010010010]	1	0.07%	10:45	18:30	8	18:30	IJA Comdty	COM	10:50	10:50	20	Vwap	10	11:00	12:00	EOP	ECO	MATIF		Y	Y	N	Y	N	N	
Y	1604	Soybean@CBT	[100010100010]	1	0.05%	19:00	13:20	8	13:15	S A Comdty	S	08:30	08:30	20	Vwap	10	08:30	09:30	CBT	ZS	ECBOT		Y	Y	Y	Y	Y	Y	
Y	1605	Soybean Meal@CBT	[101010101001]	1	0.05%	19:00	13:20	8	13:15	SMA Comdty	SM	08:30	12:30	20	Vwap	10	08:30	09:30	CBT	ZM	ECBOT		Y	Y	Y	Y	Y	Y	
Y	1606	Soybean Oil@CBT	[101010101001]	1	0.05%	19:00	13:20	8	13:15	BOA Comdty	BO	08:30	12:00	20	Vwap	10	08:30	09:30	CBT	ZL	ECBOT		Y	Y	Y	Y	Y	Y	
Y	1701	Winter Wheat@CBT	[001010101001]	1	0.05%	19:00	13:20	8	13:15	W A Comdty	W	06:10	06:10	20	Vwap	10	08:30	09:30	CBT	ZW	ECBOT		Y	Y	Y	Y	Y	Y	
Y	1703	Hard Red Wheat@CBT	[001010101001]	1	0.05%	19:00	13:20	8	13:15	KWA Comdty	KW	08:35	08:35	20	Vwap	10	08:30	09:30	CBT	KE	ECBOT		Y	Y	Y	Y	Y	Y	
