Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	BBExch	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	UPatrev2d	UEm	ProdWithAsian	Note
Y	1401	Live Cattle@CME	[010101010101]	1	0.05%	08:30	13:05	8	13:00	LCA Comdty	LC	08:35	12:00	40	Vwap	30	09:40	10:40	CME	LE	GLOBEX	08:30	Y	Y	Y	Y	Y	N	
Y	1402	Lean Hogs@CME	[010101010101]	1	0.05%	08:30	13:05	8	13:00	LHA Comdty	LH	08:35	08:35	40	Vwap	30	08:50	09:50	CME	HE	GLOBEX	08:30	Y	Y	Y	Y	Y	Y	
Y	1403	Feeder Cattle@CME	[101010011110]	1	0.05%	08:30	13:05	8	13:00	FCA Comdty	FC	08:35	08:35	40	Vwap	30	08:50	09:50	CME	GF	GLOBEX	08:30	Y	Y	N	Y	N	N	liq
